Tag_Text;Tag_DB_ID;Tag_Name_DB
PP02ATL;1032;PP02ATL
2pl;1033;02_2pl
lesen;1034;02_lesen
3pl;1035;02_3pl
a;1036;02_a
nass;1037;02_nass
Tag;1038;02_Tag
Bart;1039;02_Bart
Ast;1040;02_Ast
machen;1041;02_machen
aan;1042;02_aan
getan;1043;02_getan
ae;1044;02_ae
Käse;1045;02_Käse
artdop;1046;02_artdop
artmas;1047;02_artmas
bt;1048;02_bt
gehabt;1049;02_gehabt
chen;1050;02_chen
d;1051;02_d
Feld;1052;02_Feld
del;1053;02_del
Knödel;1054;02_Knödel
dim;1055;02_dim
Haus;1056;02_Haus
Apfel;1057;02_Apfel
e1;1058;02_e1
e1l;1059;02_e1l
e2;1060;02_e2
Kette;1061;02_Kette
ee;1062;02_ee
Schnee;1063;02_Schnee
ei;1064;02_ei
Meister;1065;02_Meister
er;1066;02_er
esd;1067;02_esd
Fisch;1068;02_Fisch
flekom;1069;02_flekom
g;1070;02_g
ge;1071;02_ge
gebunden;1072;02_gebunden
gel;1073;02_gel
Igel;1074;02_Igel
ii;1075;02_ii
weiß;1076;02_weiß
il;1077;02_il
Milch;1078;02_Milch
ipp;1079;02_ipp
iu;1080;02_iu
Fliege;1081;02_Fliege
klitis;1082;02_klitis
kn;1083;02_kn
konj2;1084;02_konj2
geben;1085;02_geben
kaufen;1086;02_kaufen
kopr;1087;02_kopr
kalt;1088;02_kalt
kv;1089;02_kv
lex;1090;02_lex
Hemd;1091;02_Hemd
Donnerstag;1092;02_Donnerstag
Dienstag;1093;02_Dienstag
Mädchen;1094;02_Mädchen
Frühling;1095;02_Frühling
Kartoffel;1096;02_Kartoffel
nd;1097;02_nd
negc;1098;02_negc
nomsg;1099;02_nomsg
Brücke;1100;02_Brücke
oen;1101;02_oen
schön;1102;02_schön
ol;1103;02_ol
Holz;1104;02_Holz
oo;1105;02_oo
roteRosen;1106;02_roteRosen
ou;1107;02_ou
Baum;1108;02_Baum
öu;1109;02_öu
Böum;1110;02_Böum
pl;1111;02_pl
poskon;1112;02_poskon
pron;1113;02_pron
ihr;1114;02_ihr
euch;1115;02_euch
r;1116;02_r
Uhr;1117;02_Uhr
relans;1118;02_relans
rt;1119;02_rt
sprv;1120;02_sprv
st;1121;02_st
t;1122;02_t
ten;1123;02_ten
uo;1124;02_uo
gut;1125;02_gut
üü;1126;02_üü
Häus;1127;02_Häus
wstpron;1128;02_wstpron
wstverb;1129;02_wstverb
